date,time,server,ping
08/05/2020,10:01:54.14,us5861.nordvpn.com.udp.ovpn,12
08/05/2020,11:25:26.76,us5577.nordvpn.com.udp.ovpn,16
08/05/2020,11:32:08.17,us5577.nordvpn.com.udp.ovpn,12
08/05/2020,17:53:23.24,us5861.nordvpn.com.udp.ovpn,20
08/05/2020,23:13:27.47,us5850.nordvpn.com.udp.ovpn,12
08/06/2020, 6:28:34.91,us5850.nordvpn.com.udp.ovpn,11
08/06/2020,16:22:13.42,us5850.nordvpn.com.udp.ovpn,12
08/06/2020,20:02:39.42,us5577.nordvpn.com.udp.ovpn,15
08/07/2020, 0:09:44.24,us5861.nordvpn.com.udp.ovpn,10
08/07/2020,17:01:30.20,us5861.nordvpn.com.udp.ovpn,11
08/07/2020,17:23:46.25,us5861.nordvpn.com.udp.ovpn,50
08/07/2020,22:02:24.19,us5850.nordvpn.com.udp.ovpn,14
08/07/2020,22:35:15.28,us5861.nordvpn.com.udp.ovpn,11
08/08/2020,14:51:01.33,us5861.nordvpn.com.udp.ovpn,1000
08/08/2020,14:54:22.35,us5861.nordvpn.com.udp.ovpn,10
08/08/2020,15:26:35.35,us5861.nordvpn.com.udp.ovpn,10
08/09/2020, 1:59:58.34,us5861.nordvpn.com.udp.ovpn,10
08/09/2020,19:29:06.34,us5850.nordvpn.com.udp.ovpn,10
08/09/2020,19:31:08.35,us5850.nordvpn.com.udp.ovpn,10
08/09/2020,21:19:35.72,us5850.nordvpn.com.udp.ovpn,10
08/09/2020,21:28:28.34,us5861.nordvpn.com.udp.ovpn,10
08/10/2020,18:50:57.39,us5861.nordvpn.com.udp.ovpn,11
08/10/2020,20:18:48.35,us5861.nordvpn.com.udp.ovpn,11
08/11/2020,17:36:20.97,us5861.nordvpn.com.udp.ovpn,11
08/12/2020, 9:28:01.99,us5861.nordvpn.com.udp.ovpn,11
08/12/2020, 9:47:29.36,us5861.nordvpn.com.udp.ovpn,10
08/13/2020, 0:19:05.43,us5861.nordvpn.com.udp.ovpn,11
08/13/2020, 6:50:08.91,us5861.nordvpn.com.udp.ovpn,10
08/13/2020, 8:27:17.42,us5861.nordvpn.com.udp.ovpn,10
08/13/2020, 8:34:14.42,us5850.nordvpn.com.udp.ovpn,11
08/13/2020,12:03:23.35,us5861.nordvpn.com.udp.ovpn,1000
08/13/2020,12:06:37.41,us5861.nordvpn.com.udp.ovpn,10
08/13/2020,17:48:33.43,us5861.nordvpn.com.udp.ovpn,13
08/13/2020,18:59:33.42,us5861.nordvpn.com.udp.ovpn,10
08/14/2020,23:11:03.43,us5850.nordvpn.com.udp.ovpn,13
08/14/2020,23:43:35.92,us5850.nordvpn.com.udp.ovpn,11
08/15/2020, 0:08:28.43,us5850.nordvpn.com.udp.ovpn,10
08/15/2020,13:46:36.43,us5861.nordvpn.com.udp.ovpn,10
08/15/2020,19:46:25.42,us5861.nordvpn.com.udp.ovpn,10
08/16/2020,15:25:40.96,us5850.nordvpn.com.udp.ovpn,10
08/16/2020,19:44:27.49,us5850.nordvpn.com.udp.ovpn,16
08/17/2020,16:32:37.96,us5861.nordvpn.com.udp.ovpn,10
08/17/2020,21:52:39.49,us5861.nordvpn.com.udp.ovpn,13
08/17/2020,21:59:53.98,us5861.nordvpn.com.udp.ovpn,10
08/19/2020,19:04:13.59,us5861.nordvpn.com.udp.ovpn,13
